FID_,CID,ano1991,ano1992,ano1993,ano1994,ano1995,ano1996,ano1997,ano1998,ano1999,ano2000,x,y
,88,0,0,0,0,0,0,0,0,0,0,-7.9235301,37.5513000
,89,0,0,0,0,0,0,0,0,0,0,-9.2415400,38.9612007
,90,0,0,0,0,0,0,0,0,0,0,-7.6899199,38.3056984
,91,0,0,0,0,0,0,0,0,0,0,-8.6018200,37.3557014
,92,0,0,0,0,0,0,0,0,0,0,-8.5898199,40.8432999
,93,0,0,0,0,0,0,0,0,0,0,-7.8640499,37.2886009
,94,0,0,0,0,0,0,0,0,0,0,-7.3194799,40.6562996
,95,0,0,0,0,0,0,0,0,0,0,-8.3316097,39.2490005
,96,0,0,0,0,0,0,0,0,0,0,-7.6278501,38.0867996
,97,0,0,0,0,0,0,0,0,0,0,-8.2368498,40.9230003
,98,0,0,0,0,0,0,0,0,0,0,-8.4141197,40.8764000
,99,0,0,0,0,0,0,0,0,0,0,-7.9183002,41.4611015
,100,0,0,0,0,0,0,0,0,0,0,-8.2251701,38.4014015
,101,0,0,0,0,0,0,0,0,0,0,-7.1719899,41.5052986
,102,0,0,0,0,0,0,0,0,0,0,-8.5280199,39.6946983
,103,0,0,0,0,0,0,0,0,0,0,-8.6874199,39.3848000
,104,0,0,0,0,0,0,0,0,0,0,-7.6610098,37.1228981
,105,0,0,0,0,0,0,0,0,0,0,-6.4355001,41.6078987
,106,0,0,0,0,0,0,0,0,0,0,-7.8118401,39.1077003
,107,0,0,0,0,0,0,0,0,0,0,-7.2873001,41.7167015
,108,0,0,0,0,0,0,0,0,0,0,-8.4887199,37.1871986
,109,0,0,0,0,1,0,0,0,0,0,-7.9617600,40.7592010
,110,0,0,0,0,0,0,0,0,0,0,-8.4113197,40.6324997
,111,0,0,0,0,0,0,0,0,0,0,-6.6656799,41.9249001
,112,0,0,0,0,0,0,0,0,0,0,-8.7077904,40.3595009
,113,0,0,0,0,0,0,0,0,0,0,-8.0159998,39.2046013
,114,0,0,0,0,0,0,0,0,0,0,-8.3326597,41.0386009
,115,0,0,0,0,0,0,0,0,0,0,-7.9473600,40.9328995
,116,0,0,0,0,0,0,0,0,0,0,-6.9287400,41.7913017
,117,0,0,0,0,0,0,0,0,0,0,-7.9511700,37.0231018
,118,0,0,0,0,0,0,0,0,0,0,-7.4992599,41.2747002
,119,0,0,0,0,0,0,0,0,0,0,-7.7147298,39.5685997
,120,0,0,0,0,0,0,0,0,0,0,-7.7209301,40.3624992
,121,0,0,0,0,0,0,0,0,0,0,-8.2748404,38.3106995
,122,0,0,0,0,0,0,0,0,0,0,-7.0141902,38.1736984
,123,0,0,0,0,0,0,0,0,0,0,-6.5760298,41.5460014
,124,0,0,0,0,0,0,0,0,0,0,-7.4444499,37.3578987
,125,0,0,0,0,0,0,0,0,0,0,-7.7940102,38.6836014
,126,0,0,0,0,0,0,0,0,0,0,-7.5108099,38.1184006
,127,0,0,0,0,0,0,0,0,0,0,-8.2856903,41.5544014
,128,0,0,0,0,0,0,0,0,0,0,-8.8639202,38.7983017
,129,0,0,0,0,0,0,0,0,0,0,-8.9855900,38.9161987
,130,0,0,0,0,0,0,0,0,0,0,-7.5639701,38.3838997
,131,0,0,0,0,0,0,0,0,0,0,-8.2064695,39.9180984
,132,0,0,0,0,0,0,0,0,0,0,-8.5348902,39.4259987
,133,0,0,0,0,0,0,0,0,0,0,-7.3039799,38.4011002
,134,0,0,0,0,1,0,0,0,0,0,-8.0907497,39.5890007
,135,0,0,0,0,0,0,0,0,0,0,-8.6074696,40.0452003
,136,0,0,0,0,0,0,0,0,0,0,-8.8650799,39.7789993
,137,0,0,0,0,0,0,0,0,0,0,-7.5605798,38.0718994
,138,0,0,0,0,0,0,0,0,0,0,-8.4820700,39.9044991
,139,0,0,0,0,0,0,0,0,0,0,-7.8306599,40.8210983
,140,0,0,0,0,0,0,0,0,0,0,-7.4346700,39.1624985
,141,0,0,0,0,0,0,0,0,0,0,-9.2348700,38.8320007
,142,0,0,0,0,0,0,0,0,0,0,-7.8048301,39.9047012
,143,0,0,0,0,0,0,0,0,0,0,-8.2628098,41.5037994
,144,0,0,0,0,0,0,0,0,0,0,-8.8929701,40.0242996
,145,1,0,0,0,0,0,0,0,0,0,-8.3689899,39.6433983
,146,0,0,0,0,0,0,0,0,0,0,-8.1456003,38.5242004
,147,0,0,0,0,0,0,0,0,0,0,-7.4215899,39.1577988
,148,0,0,0,0,0,0,0,0,0,1,-7.0261102,40.3708000
,149,0,0,0,0,0,0,0,0,0,0,-8.7369204,38.6397018
,150,0,0,0,0,0,0,0,0,0,0,-7.2646298,39.0415993
,151,0,0,0,0,0,0,0,0,0,0,-8.0487003,40.2541008
,152,0,0,0,0,0,0,0,0,0,0,-7.3005900,39.4618988
,153,0,0,0,0,0,0,0,0,0,0,-7.6600499,39.2683983
,154,0,0,0,0,0,0,0,0,0,0,-7.9029298,41.3454018
,155,0,0,0,0,0,0,0,0,0,0,-8.2987204,37.7965012
,156,0,0,0,0,0,0,0,0,0,0,-6.7976599,41.4421005
,157,0,0,0,0,0,0,0,0,0,0,-7.6857300,38.0247993
,158,0,0,0,0,0,0,0,0,0,0,-7.9919600,38.1721001
,159,0,0,0,0,0,0,0,0,0,0,-8.2336502,37.8913994
,160,0,0,0,0,0,0,0,0,0,0,-8.3057299,41.4608002
,161,0,0,0,0,0,0,0,0,0,0,-8.4152403,38.8591003
,162,0,1,0,0,0,0,0,0,0,0,-7.7902198,40.4072990
,163,0,0,0,0,0,0,0,0,0,0,-8.2141800,40.3670998
,164,0,0,0,0,0,0,0,0,0,0,-8.3374004,37.3073997
,165,0,0,0,0,0,0,0,0,0,0,-7.6162801,37.6729012
,166,0,0,0,0,0,0,0,0,0,0,-9.2955503,39.2186012
,167,0,0,0,0,0,0,0,0,0,0,-8.1753302,39.0372009
,168,0,0,0,0,0,0,0,0,0,0,-8.9220695,37.0970001
,169,0,0,0,0,0,0,0,0,0,0,-8.4448404,40.0225983
,170,0,0,0,0,0,0,0,0,0,0,-8.4393597,42.0755997
,171,0,0,0,0,0,0,0,0,0,0,-9.3479605,38.7653999
,172,0,0,0,0,0,0,0,0,0,0,-7.4199200,38.6883011
,173,0,0,0,0,0,0,0,0,0,0,-7.4413099,41.3007011
,174,0,0,0,0,0,0,0,0,0,0,-7.8147602,38.8322983
,175,0,0,0,0,0,0,0,0,0,0,-7.1634898,39.7538986
,176,0,0,0,0,0,0,0,0,0,0,-7.4574800,38.3667984
,177,0,0,0,0,0,0,0,0,1,0,-7.9115400,41.6445007
,178,0,0,0,0,0,0,0,0,0,0,-7.1769400,40.5914993
,179,0,0,0,0,0,0,0,0,0,0,-8.5483799,39.1960983
,180,0,0,0,0,0,0,0,0,0,0,-8.8313999,39.1792984
,181,0,0,0,0,0,0,0,0,0,0,-7.6454101,40.8236008
,182,0,0,0,0,0,0,0,0,0,0,-8.7290001,39.1805992
,183,0,0,0,0,0,0,0,0,0,0,-8.7818499,41.6091003
,184,0,0,0,0,0,0,0,0,0,0,-7.8977199,37.3807983
,185,0,0,0,0,0,0,0,0,0,0,-7.9454799,38.0220985
,186,0,1,0,0,0,0,0,0,0,0,-7.8435798,41.4925995
,187,0,0,0,0,0,0,0,0,0,0,-7.7096500,38.2335014
,188,1,0,0,0,0,0,0,0,0,0,-7.7089300,40.1892014
,189,0,0,0,0,0,0,0,0,0,0,-7.1931500,41.3134995
,190,0,0,0,0,0,0,0,0,0,0,-6.4347801,41.3969002
,191,0,0,0,0,0,0,0,0,0,0,-7.4354501,37.2336998
,192,0,0,0,0,0,0,0,0,0,0,-7.3492398,40.8652992
,193,0,0,0,0,0,0,0,0,0,0,-9.3739405,38.9980011
,194,0,0,0,0,0,0,0,0,0,0,-8.4277201,40.1239014
,195,1,0,0,0,0,0,0,0,0,0,-8.0304699,39.6397018
,196,0,0,0,0,1,0,0,0,0,0,-8.1833897,41.5488014
,197,1,0,0,0,0,0,0,0,0,1,-7.6584902,40.2107010
,198,0,0,0,0,0,0,0,0,0,0,-8.8853798,39.5681000
,199,0,0,0,0,0,0,0,0,0,0,-8.6458502,39.1591988
,200,1,0,0,0,0,0,0,0,0,0,-7.7552099,40.1288986
,201,0,0,0,0,0,0,0,0,0,0,-7.8464298,40.2403984
,202,0,0,0,0,0,0,0,0,0,0,-7.8207302,40.3628006
,203,0,0,0,0,0,0,0,0,0,0,-8.7595396,40.2375984
,204,0,0,0,0,0,0,0,0,0,1,-7.1942902,40.8216019
,205,0,0,0,0,0,0,0,0,0,0,-8.7165003,39.5046997
,206,0,0,0,0,0,0,0,0,0,0,-8.7130098,38.4460983
,207,0,0,0,0,0,0,0,0,0,0,-9.0997200,38.9389000
,208,0,0,0,0,0,0,0,0,0,0,-8.0699596,37.1011009
,209,0,0,0,0,0,0,0,0,0,0,-7.1851201,39.0699005
,210,0,0,0,0,0,0,0,0,0,0,-6.3541198,41.5960999
,211,0,0,0,0,0,1,0,0,0,0,-6.8183799,41.4332008
,212,0,0,0,0,0,0,0,0,0,0,-7.7081599,39.9257011
,213,0,0,0,0,0,0,0,0,0,1,-7.6908202,41.8936996
,214,0,0,0,0,0,0,0,0,0,0,-8.6122103,40.6431007
,215,0,0,0,0,0,0,0,0,0,0,-8.9792404,39.0101013
,216,0,0,0,0,0,0,0,0,0,0,-7.6524000,38.9034996
,217,0,0,0,0,0,0,0,0,0,0,-8.8271303,39.4725990
,218,0,0,0,0,0,0,0,0,0,0,-7.3529601,38.0814018
,219,0,0,0,0,0,0,0,0,0,0,-7.2966099,41.4555016
,220,0,0,0,0,0,0,0,0,0,0,-6.4492998,41.6166992
,221,0,0,0,0,0,0,0,0,0,0,-6.8847499,41.4222984
,222,0,0,0,0,0,0,0,0,0,0,-7.2778201,38.7911987
,223,0,0,0,0,0,0,0,0,0,0,-7.8427300,38.8979988
,224,0,0,0,0,0,0,0,0,0,0,-8.2417698,39.6198006
,225,0,0,0,0,0,0,0,0,0,0,-7.7244701,37.5041008
,226,0,0,0,0,0,0,0,0,0,0,-7.6023402,39.4841003
,227,0,0,0,0,0,0,0,0,0,0,-8.5400000,40.2220001
,228,0,0,0,0,0,0,0,0,0,0,-7.9139700,39.9664001
,229,0,0,0,0,0,0,0,0,0,0,-8.4342699,41.1208992
,230,0,0,0,0,0,0,0,0,0,0,-8.3426504,37.3562012
,231,0,0,0,0,0,0,0,0,0,0,-7.4226699,39.2914009
,232,0,0,0,0,0,0,0,0,0,0,-8.9608698,38.7648010
,233,0,0,0,0,0,0,0,0,0,0,-7.2488599,38.7443008
,234,0,0,0,0,0,0,0,0,0,0,-8.2392502,40.1747017
,235,0,0,0,0,0,0,0,0,0,0,-7.8684001,38.5817986
,236,0,0,0,0,0,0,0,0,0,0,-8.8244600,37.1178017
,237,0,0,0,0,0,0,0,0,0,0,-7.1585002,41.0629997
,238,0,0,0,0,0,0,0,0,0,0,-8.7455301,38.8035011
,239,0,0,0,0,0,0,0,0,0,0,-6.7415299,41.1641998
,240,0,0,0,0,0,0,0,0,0,0,-8.8768797,39.6571007
,241,0,0,0,0,0,0,0,0,0,1,-7.8910999,39.8106003
,242,0,0,0,0,0,0,0,0,0,0,-8.2491999,37.1492996
,243,0,0,0,0,0,0,0,0,0,0,-8.1397200,40.4449005
,244,0,0,0,0,0,0,0,0,0,0,-8.5724001,37.6147003
,245,0,0,0,0,0,0,0,0,0,0,-7.2395401,39.7556992
,246,0,0,0,0,0,0,0,0,0,0,-8.6355896,37.9497986
,247,0,0,0,0,0,0,0,0,0,0,-7.4669199,37.3590012
,248,0,0,0,0,0,0,0,0,0,0,-7.2999201,40.5231018
,249,0,0,0,0,0,0,0,0,0,0,-8.7600203,40.2074013
,250,0,0,0,0,0,0,0,0,0,0,-8.7886200,39.8689003
,251,0,0,0,0,0,0,0,0,0,0,-7.1743498,40.9958992
,252,0,0,0,0,0,0,0,0,0,0,-8.7646999,37.9322014
,253,0,0,0,0,0,0,0,0,0,0,-7.4656200,38.7980995
,254,0,0,0,0,0,0,0,0,0,0,-9.0213699,39.5573997
,255,0,0,0,0,0,0,0,0,0,0,-7.5569701,38.7419014
,256,0,0,0,0,0,0,0,0,0,0,-7.8349600,41.2079010
,257,0,0,0,0,0,0,0,0,0,0,-8.7629499,40.3333015
,258,0,0,0,0,0,0,0,0,0,0,-8.2792101,37.4059982
,259,0,0,0,0,0,0,0,0,0,0,-8.3334904,40.0623016
,260,0,0,0,0,0,0,0,0,0,0,-7.9691701,41.7678986
,261,0,0,0,0,0,0,0,0,0,0,-6.9325199,41.1334991
,262,0,0,0,0,0,0,0,0,0,0,-7.8399401,37.2663994
,263,0,0,0,0,0,0,0,0,0,0,-7.6854801,38.3303986
,264,0,0,0,0,0,0,0,0,0,0,-8.5721703,40.0861015
,265,0,0,0,0,0,0,0,0,0,0,-8.6229296,40.2028008
,266,0,0,0,0,0,0,0,0,0,0,-8.5065498,40.2121010
,267,0,0,0,0,0,0,0,0,0,0,-8.6254501,41.8292999
,268,0,0,0,0,0,0,0,0,1,0,-8.6401100,39.8594017
,269,0,0,0,0,0,0,0,0,0,0,-8.5745497,41.4948997
,270,0,0,0,0,0,0,0,0,0,0,-7.9762001,40.5032005
,271,0,0,0,0,0,0,0,0,0,0,-7.0633998,39.7074013
,272,0,0,0,0,0,0,0,0,0,1,-8.3173304,41.1380997
,273,0,0,0,0,0,0,0,0,0,0,-7.3885002,40.0349998
,274,0,0,0,0,0,0,0,0,0,0,-7.9627199,38.8465004
,275,0,0,0,0,0,0,0,0,0,0,-8.5865202,39.6656990
,276,0,0,0,0,0,0,0,0,0,0,-8.3207998,38.6585999
,277,0,0,0,0,0,0,0,0,0,1,-7.1108699,41.7498016
,278,0,0,0,0,0,0,0,0,0,0,-8.2251101,38.3521996
,279,0,0,0,0,0,0,0,0,0,0,-8.2409897,40.7659988
,280,0,0,0,0,0,0,0,0,0,0,-7.2683501,41.3749008
,281,0,0,0,0,0,0,0,0,0,0,-8.5544300,38.9361000
,282,0,0,0,0,0,0,0,0,0,0,-7.7632999,40.3807983
,283,0,0,0,0,0,0,0,0,0,0,-7.6051798,38.7775993
,284,0,0,0,0,0,0,0,0,0,0,-8.3067999,40.2627983
,285,0,0,0,0,0,0,0,0,0,0,-8.4650497,37.7863998
,286,0,0,0,0,0,0,0,0,0,0,-7.8455801,37.7686005
,287,0,0,0,0,0,0,0,0,0,0,-8.2445297,40.3427010
,288,0,0,0,0,1,0,0,0,0,0,-8.3096104,40.5676003
,289,0,0,0,0,0,0,0,0,0,0,-7.5443401,41.2046013
,290,0,0,0,0,0,0,0,0,0,0,-7.6187401,41.6842995
,291,0,0,0,0,0,0,0,0,0,0,-7.9629202,38.3255997
,292,0,0,0,0,0,0,0,0,0,0,-8.3976498,38.5588989
,293,0,0,0,0,0,0,0,0,0,0,-8.1881104,37.4329987
,294,0,0,0,0,0,0,0,0,0,0,-8.5305595,39.2500992
,295,0,0,0,0,0,0,0,0,0,0,-7.5243001,38.3601990
,296,0,0,0,0,0,0,0,0,0,0,-7.6616602,37.5726013
,297,0,0,0,0,0,0,0,0,0,0,-7.7227101,41.1824989
,298,0,0,0,0,0,0,0,0,0,0,-8.2729101,39.9281006
,299,0,0,0,0,0,0,0,0,0,0,-8.7773199,37.2276993
,300,0,0,0,0,0,0,0,0,0,0,-8.5448503,37.3974991
,301,0,0,0,0,0,0,0,0,0,0,-8.7347202,37.2373009
,302,0,0,0,0,0,0,0,0,0,0,-8.3048201,40.1649017
,303,0,0,0,0,0,0,0,0,0,0,-7.6180601,37.3905983
,304,0,0,0,0,1,0,0,0,0,0,-7.9172902,37.2111015
,305,0,0,0,0,0,0,0,0,0,0,-7.2662401,41.7494011
,306,0,0,0,0,0,0,0,0,0,0,-7.2974501,38.7238998
,307,0,0,0,0,0,0,0,0,0,0,-8.3401699,39.7874985
,308,0,0,0,0,0,0,0,0,0,0,-7.4032102,39.8483009
,309,0,0,0,0,0,0,0,0,0,0,-7.7406101,37.9604988
,310,0,0,0,0,0,1,0,0,0,0,-8.3838701,41.9646988
,311,0,0,0,0,0,0,0,0,0,0,-9.3768702,38.7109985
,312,0,0,0,0,0,0,0,0,0,0,-7.7631602,41.5055008
,313,0,0,0,0,0,0,0,0,0,0,-8.7820396,39.7574005
,314,0,0,0,0,0,0,0,0,0,0,-7.3974800,38.3776016
,315,0,0,0,0,0,0,0,0,0,0,-8.1663399,40.5214005
,316,0,0,0,0,0,0,0,0,0,0,-8.1449404,41.0639000
,317,0,0,0,0,0,0,0,0,0,0,-7.4310198,39.9514008
,318,0,0,0,0,0,0,0,0,0,0,-6.9235101,41.5806999
,319,0,0,0,0,0,0,0,0,0,0,-8.6894398,37.5466003
,320,0,0,0,0,0,0,0,0,0,0,-8.9234304,38.6847000
,321,0,0,0,0,0,0,0,0,0,0,-6.6588502,41.6015015
,322,0,0,0,0,0,0,0,0,0,0,-8.3105898,37.1321983
,323,0,1,0,0,0,0,0,0,0,0,-8.0434504,40.1968002
,324,0,0,0,0,0,0,0,0,0,0,-8.1259203,38.1366005
,325,0,0,0,0,0,0,0,0,0,0,-9.1028404,39.3041992
,326,0,0,0,0,0,0,0,0,0,0,-7.2192798,40.4696999
,327,0,0,0,0,0,0,0,0,0,0,-8.4032602,37.3777008
,328,0,0,0,0,0,0,0,0,0,0,-8.3949604,40.0592003
